approved_term,wrong_usage,comment
керівний орган НАТО з делегованими повноваженнями,4. Керівний орган НАТО з делегованими повноваженнями має великий вплив на військові дії в Європі,неточний переклад.
керівний орган НАТО з делегованими повноваженнями,5. Військові дії в Іраку спрямовані на виконання рішень керівного органу НАТО з делегованими повноваженнями,некоректне спрощення.
ключова публікація,1. Вчора вийшла ключова публікація про нові розробки у галузі медицини.,калька з російської.
ключова публікація,2. Студент використав ключову публікацію у своїй курсовій роботі.,надто загальне.
ключова публікація,3. Ключова публікація була розповсюджена по всій мережі Інтернет.,неточний переклад.
ключова публікація,4. Вчені видали ключову публікацію з результатами своєї дослідницької роботи.,перекручення.
ключова публікація,5. Журнал опублікував ключову публікацію про нові методи лікування раку.,заміна.
концепція,1. Наша команда розробила нову концепцію для розвитку цього проекту,некоректне спрощення.
концепція,2. Директор презентував концепцію стратегічного плану на нараді,неточний переклад.
концепція,3. Вчора ми обговорювали концепцію нової стратегії компанії з керівництвом,калька з російської.
концепція,4. Студенти не зрозуміли концепцію лекції про маркетингові стратегії,перекручення.
концепція,5. Вчитель пояснив учням основні концепції фізики на уроці,надто загальне.
перевірка2,1. Солдати провели перевірку2 на лінії фронту.,заміна
перевірка2,2. Командир відправив групу на перевірку2 сусіднього села.,неточний переклад
перевірка2,3. Під час тренування відбулася несподівана перевірка2 зброї.,некоректне спрощення
перевірка2,4. Військові вирішили провести перевірку2 бойової готовності військових підрозділів.,перекручення
перевірка2,5. Під час навчань відбулася невдала перевірка2 танкової колони.,інший відтінок значення
пов'язаний зі стандартами документ,1. Цей документ повинен відповідати стандартам документ.,надто загальне
пов'язаний зі стандартами документ,2. Всі матеріали повинні бути у відповідності до стандартів документ.,калька з російської
пов'язаний зі стандартами документ,3. Даний проект не відповідає стандартам документ.,граматичне перекручення
пов'язаний зі стандартами документ,4. Забезпечення відповідності стандартам документ є важливим завданням.,неточний переклад
пов'язаний зі стандартами документ,5. Для успішного завершення проекту необхідно дотримуватися стандартам документ.,надто загальне
політика,1. Українська політика гостро потребує реформ,калька з російської.
політика,"2. Вчора ми обговорювали політику і прийшли до висновку, що потрібно змінити законодавство",надто загальне використання терміна.
політика,3. Політика є невід'ємною частиною життя кожного громадянина,неточне спрощення значення терміна.
політика,4. Політика впливає на кожну сферу нашого існування,перекручення значення.
політика,5. Наша компанія має свою власну політику щодо співпраці з партнерами,неточний переклад.
проєкт на стадії вивчення,1. Команда вже розпочала проєкт на стадії вивчення.,перекручення
проєкт на стадії вивчення,2. Наш відділ відповідає за проєкти на стадії вивчання.,неточний переклад
проєкт на стадії вивчення,3. Менеджер призначений керувати проєктами на стадії вивчення.,некоректне спрощення
проєкт на стадії вивчення,4. Вчені проводять дослідження для проєктів на стадії вивчення.,калька з англійської
проєкт на стадії вивчення,5. Компанія вирішила зупинити роботу над проєктом на стадії вивчення.,інший відтінок значення
процес стандартизації НАТО,"1. Україна має пройти процес стандартизації НАТО, щоб отримати членство в цій організації.",перекручення
процес стандартизації НАТО,2. Військова база здійснила процес стандартизації НАТО у своїх діях.,надто загальне
процес стандартизації НАТО,3. Під час тренувань військових відбувся процес стандартизації НАТО.,неточне
процес стандартизації НАТО,4. Процес стандартизації НАТО відбувається у країнах-членах організації.,калька
процес стандартизації НАТО,5. Військові підрозділи провели процес стандартизації НАТО для підвищення ефективності своїх операцій.,некоректне спрощення
ратифікація,1. Уряд ще не підтвердив ратифікацію угоди,неточний переклад.
ратифікація,2. Парламент вже затвердив ратифікацію нового закону,некоректне спрощення.
ратифікація,3. Країна ще не підтвердила ратифікацію міжнародної угоди,заміна.
ратифікація,4. Президент підписав ратифікацію договору з іншою країною,перекручення.
ратифікація,5. Ратифікація нового документу вже затверджена парламентом,калька.
ратифікаційний проєкт,1. Уряд вирішив прийняти ратифікаційний проєкт до кінця тижня.,калька з російської мови
ратифікаційний проєкт,2. Парламент відмовився розглядати ратифікаційний проєкт через відсутність підтримки.,некоректне спрощення
ратифікаційний проєкт,3. Підписання ратифікаційного проєкту відбудеться на наступному засіданні комітету.,неточний переклад
ратифікаційний проєкт,4. Міністр закордонних справ представив ратифікаційний проєкт на розгляд президенту.,заміна
ратифікаційний проєкт,5. Депутати проголосували за прийняття ратифікаційного проєкту в першому читанні.,надто загальне значення
рекомендація НАТО зі стандартизації,1. На вчорашньому засіданні була рекомендація НАТО зі стандартизації.,граматичне перекручення
рекомендація НАТО зі стандартизації,2. Наші війська повинні дотримуватися рекомендації НАТО зі стандартизації в усіх бойових операціях.,некоректне спрощення
рекомендація НАТО зі стандартизації,3. Рекомендація НАТО зі стандартизації включає в себе вимогу до учасників військових вправ.,неточний переклад
рекомендація НАТО зі стандартизації,4. Під час тренувальних навчань необхідно дотримуватися рекомендації НАТО зі стандартизації.,перекручення
рекомендація НАТО зі стандартизації,5. Рекомендація НАТО зі стандартизації є важливою для забезпечення координації дій між військами різних країн.,надто загальне
союзна публікація,1. Наші війська взяли участь у союзній публікації на міжнародних навчаннях.,"неправильне сполучення слів, некоректне спрощення"
союзна публікація,2. Учасники військового блоку вирішили провести союзну публікацію на кордоні.,неточний переклад
союзна публікація,3. На цьому військовому форумі була запланована союзна публікація для підтримки співробітництва.,граматичне перекручення
союзна публікація,4. Цей військовий союз проводить щомісячні публікації для співробітництва з іншими країнами.,"неправильне вживання терміну, надто загальне"
союзна публікація,5. Спільна публікація військових даних була проведена у рамках союзу країн.,калька з російської
союзна спільна публікація,"1. Учасники бойових дій підтримують, що ця операція є союзною спільною публікацією.",надто загальне
союзна спільна публікація,2. Військові аналітики досліджують можливість здійснення союзних спільних публікацій з іншими країнами.,неточний переклад
союзна спільна публікація,3. Командувачі різних військових підрозділів обговорюють плани щодо реалізації союзних спільних публікацій.,калька з російської
союзна спільна публікація,4. Створення союзних спільних публікацій має на меті підвищення ефективності військових операцій.,некоректне спрощення
союзна спільна публікація,5. Співпраця між країнами у сфері військової діяльності може виявитися у реалізації союзних спільних публікацій.,перекручення
союзний стандарт,1. Країни НАТО домовилися про впровадження союзного стандарту у військовій сфері.,калька з англійської.
союзний стандарт,2. Україна прагне до досягнення союзного стандарту з Європейським Союзом.,надто загальне.
союзний стандарт,3. Військові підрозділи країн-членів Організації Договору про колективну безпеку мають дотримуватися союзного стандарту.,граматичне перекручення.
союзний стандарт,4. Українська армія поступово впроваджує нові технічні засоби згідно з союзним стандартом.,неточний переклад.
союзний стандарт,5. Ці країни ухвалили рішення про створення спільного військового блоку з використанням союзного стандарту.,заміна.
стандарт НАТО,"1. НАТО - це організація, яка створена для забезпечення міжнародної безпеки",надто загальне.
стандарт НАТО,2. Участь у стандарті НАТО є обов'язковою для всіх країн-членів,неточний переклад.
стандарт НАТО,3. Військові дії були проведені відповідно до стандарту НАТО,калька з англійської.
стандарт НАТО,4. Країни НАТО мають обов'язок виконувати стандарт,некоректне спрощення.
стандарт НАТО,5. Учасники альянсу НАТО зобов'язані дотримуватися стандартів військової безпеки,перекручення.
ад'юнкт,1. Командир військового підрозділу був призначений на посаду ад'юнкта генерала,неточний переклад.
ад'юнкт,2. Військовий стратег використовував ад'юнктів для підтримки своїх тактичних рішень,некоректне спрощення.
ад'юнкт,3. Солдати були наказані використовувати ад'юнктів у бойових діях,надто загальне використання терміна.
ад'юнкт,4. Генерал вислав ад'юнкта на розвідку ворожих позицій,калька з англійської мови.
ад'юнкт,5. Старший сержант став ад'юнктом нового командира,неправильний відтінок значення.
академічна доброчесність,1. Університетська громадська організація пропагує академічну доброчесність,некоректне спрощення.
академічна доброчесність,2. За порушення академічної доброчесності може бути відраховано студента,неточний переклад.
академічна доброчесність,3. Важливо дотримуватися академічної доброчесності під час написання курсової роботи,заміна.
академічна доброчесність,4. Студентка була покарана за порушення академічної доброчесності,перекручення.
академічна доброчесність,5. Деканат проводить заходи з підвищення рівня академічної доброчесності серед студентів,надто загальне.
академічний плагіат,1. Навчальний завдання було скопійовано з Інтернету без вказання джерела,калька з російської.
академічний плагіат,2. Студент отримав відрахування за використання чужого тексту без дозволу автора,неточний переклад.
академічний плагіат,3. Її курсова робота була заповнена плагіатом,некоректне спрощення.
академічний плагіат,4. Викладач викрив студента у плагіаті та дав йому негативну оцінку,перекручення.
академічний плагіат,5. За виявлення академічного плагіату можуть відрахувати студента із навчального закладу,заміна.
академічна свобода,1. В університеті студентам гарантується академічна свобода,заборона вступати в будь-які військові структури. (неточний переклад)
аналітично-синтетична обробка,1. Військові використовують аналітично-синтетичну обробку для розвідки,некоректне спрощення.
аналітично-синтетична обробка,2. Під час військових навчань використовували аналітично-синтетичну обробку для аналізу ситуації,неточний переклад.
аналітично-синтетична обробка,3. Цей збройний конфлікт потребує використання аналітично-синтетичної обробки для визначення стратегії,калька з англійської.
аналітично-синтетична обробка,4. Аналітично-синтетична обробка допомагає військовим аналізувати дані та приймати рішення,надто загальне.
аналітично-синтетична обробка,5. Військові стратеги використовують аналітично-синтетичну обробку для підготовки до бойових дій,заміна.
викладацька діяльність,1. Сьогодні я проведу викладацьку діяльність з історії України.,калька з російської мови
викладацька діяльність,2. Мені дуже подобається викладацька діяльність у вищому навчальному закладі.,некоректне спрощення
викладацька діяльність,3. Спеціаліст з викладацької діяльності відвідає конференцію з педагогіки.,неточний переклад
викладацька діяльність,4. Викладацька діяльність дуже важлива для формування культури суспільства.,надто загальне
викладацька діяльність,5. Вчора я відвідав семінар з викладацької діяльності для вчителів.,перекручення
винахід,1. Вчора винахід брав участь у бойових діях на сході країни.,надто загальне
винахід,2. Нам потрібно розробити новий винахід для збільшення продуктивності.,неточний переклад
винахід,3. Цей винахід використовується для підвищення ефективності виробництва.,калька з англійської
винахід,"4. Шукаючи винахід, вони натрапили на багато перешкод.",перекручення
винахід,"5. Вчора ми вигадали новий винахід, який допоможе вирішити проблему забруднення навколишнього середовища.",некоректне спрощення
винахідник,1. Винахідник був вирішально важливим для військового успіху,неточний переклад.
винахідник,2. Компанія найняла винахідника для розробки нової зброї,надто загальне.
винахідник,3. Винахідник виготовив новий пристрій для швидкого визначення ворожих позицій,граматичне перекручення.
винахідник,4. Завдяки винахіднику військова техніка стала більш ефективною,заміна.
винахідник,5. Винахідник отримав відзнаку за розробку нового способу шифрування військової інформації,калька з англійської.
виробничо-орієнтована наукова установа,"1. У цьому місті є велика виробничо-орієнтована наукова установа, яка займається дослідженням нових матеріалів для військової техніки.",надто загальне.
виробничо-орієнтована наукова установа,2. Наша компанія планує створити виробничо-орієнтовану наукову установу для вивчення можливостей використання сучасних технологій у військовій сфері.,неточний переклад.
виробничо-орієнтована наукова установа,"3. Для розвитку країни важливо створити виробничо-орієнтовані наукові установи, які спрямовані на підвищення обороноздатності.",некоректне спрощення.
виробничо-орієнтована наукова установа,4. Університет запрошує молодих вчених приєднатися до виробничо-орієнтованої наукової установи для співпраці в галузі оборонних технологій.,заміна.
високі технології,1. В Україні розвиваються високі технології в області медицини,калька з російської.
високі технології,2. Цей новий смартфон має високі технології камери,заміна.
високі технології,3. Вчора на конференції говорили про високі технології в сфері освіти,надто загальне.
високі технології,4. У цій компанії використовують високі технології для виробництва товарів,неточний переклад.
високі технології,5. Мій брат працює у сфері високих технологій,некоректне спрощення.
вищий військовий навчальний заклад,1. У нашій країні є багато вищих військових навчальних закладів.,надто загальне.
вищий військовий навчальний заклад,2. Цього року мій брат поступив до вищого військового навчального закладу.,недостатньо конкретне.
вищий військовий навчальний заклад,3. Для вступу до вищого військового навчального закладу треба скласти вступні іспити.,некоректне спрощення.
вищий військовий навчальний заклад,4. Вищі військові навчальні заклади готують висококваліфікованих офіцерів.,перекручення.
вищий військовий навчальний заклад,5. Моя сестра мріє про навчання у вищому військовому навчальному закладі.,заміна.
військова техніка,1. Сьогодні на військових навчаннях показали нам нову військову техніку,калька з англійської.
військова техніка,"2. Мій брат працює на заводі, де виготовляють військову техніку",надто загальне.
військова техніка,"3. Коли я був у армії, ми навчалися керувати військовою технікою",надто загальне.
військова техніка,4. У сучасній військовій техніці використовуються передові технології,неточний переклад.
військова техніка,5. Військова техніка дозволяє забезпечити безпеку нашої країни,надто загальне.
Всесвітня організація інтелектуальної власності,1. На засіданні ООН обговорювалася необхідність створення Всесвітньої організації інтелектуальної власності.,надто загальне
Всесвітня організація інтелектуальної власності,2. Вчора відбулася зустріч представників країн для обговорення питань Всесвітньої організації інтелектуальної власності.,некоректне спрощення
Всесвітня організація інтелектуальної власності,3. Уряд розглядає можливість вступлення до Всесвітньої організації інтелектуальної власності.,неточний переклад
Всесвітня організація інтелектуальної власності,"4. Сьогодні відбудеться засідання Всесвітньої організації інтелектуальної власності, на якому обговоряться нові проекти.",заміна
вчений,1. Вчений відкрив нову планету у галактиці,калька з російської.
вчений,2. Вчений був призначений головним командиром військового підрозділу,некоректне спрощення.
вчений,3. Цей вчений відомий своїми боєздатними винаходами,перекручення.
вчений,4. Вчений вивчає вчення війни та військову стратегію,неточний переклад.
вчений,5. Вчений проводить експерименти у військових цілях,надто загальне.
грант,1. Наш командир отримав грант на розвиток нашої частини.,Заміна
грант,2. Солдат отримав грант на поліпшення свого вжитку.,Неточний переклад
грант,3. Генерал вирішив виділити грант на вдосконалення бойової підготовки військовослужбовців.,Калька з російської
грант,4. Військовослужбовець запропонував використати грант на закупівлю нових патронів.,Перекручення
грант,5. Міністр оборони вирішив скористатися грантом для модернізації військової техніки.,Неточне
дата пріоритету,1. Нам потрібно визначити дати пріоритету для кожного завдання,надто загальне.
дата пріоритету,2. На наступному засіданні ми обговоримо дати пріоритету для проектів,неточний переклад.
дата пріоритету,3. Команда вже встановила дати пріоритету для важливих завдань,калька з англійської мови.
дата пріоритету,"4. Я не знаю, яка дата пріоритету для цього завдання",некоректне спрощення.
дата пріоритету,5. Давайте переглянемо дати пріоритету для наступного місяця,перекручення.
державна дослідницька інфраструктура,1. Міністерство освіти України розширює державну дослідницьку інфраструктуру для підтримки наукових досліджень,граматичне перекручення.
державна дослідницька інфраструктура,2. Університет вирішив створити нову лабораторію як частину державної дослідницької інфраструктури,неточний переклад.
державна дослідницька інфраструктура,3. Збільшення фінансування наукових проектів дозволить посилити державну дослідницьку інфраструктуру,надто загальне.
державна дослідницька інфраструктура,"4. Науковці використовують спеціальні обладнання, які доступні завдяки розвитку державної дослідницької інфраструктури",калька з російської.
державна дослідницька інфраструктура,5. Для підтримки інновацій в Україні необхідно зміцнити державну дослідницьку інфраструктуру,заміна.
державна система правової охорони інтелектуальної власності,1. Україна потребує розвитку державної системи правової охорони інтелектуальної власності,калька з російської.
державна система правової охорони інтелектуальної власності,2. Законодавство про державну систему правової охорони інтелектуальної власності повинно бути удосконалене,надто загальне.
державна система правової охорони інтелектуальної власності,"3. Щоб захистити свої інтелектуальні права, потрібно звернутися до державної системи охорони",перекручення.
державна система правової охорони інтелектуальної власності,4. Національна система правової охорони інтелектуальної власності має бути ефективною,неточний переклад.
державна система правової охорони інтелектуальної власності,5. Державна система правової охорони інтелектуальної власності забезпечує захист авторських прав,некоректне спрощення.
державні випробування,1. Учасникам державних випробувань необхідно пройти сертифікацію,надто загальне.
державні випробування,2. Під час військових операцій проводяться державні випробування,неточний переклад.
державні випробування,3. Для отримання військового рангу потрібно успішно пройти державні випробування,перекручення.
державні випробування,4. Спеціальні військові підрозділи проходять державні випробування щорічно,калька з російської.
державні випробування,5. Збройні сили країни ведуть державні випробування нових боєприпасів,надто загальне.
докторант,1. Цього тижня докторанти провели нараду з керівниками,калька з англійської.
докторант,2. Мій друг вже два роки працює докторантом у Львівському університеті,неточний переклад.
докторант,3. Сьогодні докторанти відправили свої наукові статті на рецензію,некоректне спрощення.
докторант,4. Я мрію стати докторантом і вивчати історію України,перекручення значення.
докторант,"5. Докторантка, яка захищала дисертацію минулого тижня, отримала високу оцінку",заміна терміну.
дослідний зразок,"1. Цей дослідний зразок показує, як працюють нові ракети.",калька з англійської
дослідний зразок,2. Ми використовуємо дослідний зразок для визначення типу ворожого танку.,перекручення
дослідний зразок,"3. Вчені взяли дослідний зразок, щоб вивчити новий вид озброєння.",надто загальне
дослідний зразок,4. Команда військових вирішила випробувати дослідний зразок на полігоні.,неточний переклад
дослідний зразок,5. Для виробництва нового технологічного збройного комплексу було створено дослідний зразок.,некоректне спрощення
дослідницька інфраструктура,1. У нашому університеті відкрили нову дослідницьку інфраструктуру для студентів,калька з російської.
дослідницька інфраструктура,2. Ця лабораторія є частиною науково-дослідницької інфраструктури університету,надто загальне.
дослідницька інфраструктура,3. На факультеті інформаційних технологій встановили сучасну дослідницьку інфраструктуру,перекручення.
дослідницька інфраструктура,4. Дослідницька інфраструктура університету дозволяє студентам проводити наукові дослідження,неточний переклад.
дослідницька інфраструктура,5. Учені вирішили розширити дослідницьку інфраструктуру для забезпечення кращих умов для проведення експериментів,некоректне спрощення.
дослідно-конструкторська робота,1. Дослідно-конструкторська робота військових інженерів допомагає розвивати нові військові технології.,надто загальне.
дослідно-конструкторська робота,2. На заводі проводиться дослідно-конструкторська робота з метою вдосконалення виробництва.,некоректне спрощення.
дослідно-конструкторська робота,3. Для здійснення дослідно-конструкторської роботи потрібні спеціалісти з відповідною кваліфікацією.,перекручення.
дослідно-конструкторська робота,4. Дослідно-конструкторську роботу з новими військовими технологіями виконують науковці з великим досвідом.,неточний переклад.
дослідно-конструкторська робота,5. Дослідно-конструкторська робота у військовій сфері дозволяє створювати більш ефективне озброєння.,заміна.
ескізний проєкт зразка,1. Цей ескізний проєкт зразка включає в себе всі необхідні деталі,неточний переклад.
ескізний проєкт зразка,2. Військові інженери вже працюють над ескізним проєктом зразка нового бронетранспортера,надто загальне.
ескізний проєкт зразка,3. Даний ескізний проєкт зразка може бути вдосконалений з урахуванням новітніх технологій,некоректне спрощення.
ескізний проєкт зразка,4. Учасники військового конкурсу представлять свої ескізні проєкти зразків під час виставки,калька з англійської.
ескізний проєкт зразка,5. Офіцери вже отримали ескізні проєкти зразка для подальшого вивчення,граматичне перекручення.
захист інформації,1. Захист інформації є дуже важливим для забезпечення безпеки держави,заміна
захист інформації,2. Компанія вклала багато коштів у захист інформації своїх клієнтів,некоректне спрощення
захист інформації,3. Розробка нових технологій в сфері захисту інформації займає багато часу і зусиль,неточний переклад
захист інформації,"4. Вчора відбулася конференція, присвячена захисту інформації в мережі Інтернет",калька
захист інформації,5. Захист інформації користувачів є відповідальністю кожного власника сайту,надто загальне.
Європейський дослідницький простір,1. У Європейському дослідницькому просторі проводяться багатообіцяючі експерименти.,надто загальне.
Європейський дослідницький простір,2. Моя компанія планує розширення діяльності в Європейському дослідницькому просторі.,заміна.
Європейський дослідницький простір,3. Науковці з усього світу співпрацюють у Європейському дослідницькому просторі.,неточний переклад.
Європейський дослідницький простір,4. Європейський дослідницький простір багатий на можливості для наукових відкриттів.,перекручення.
Європейський дослідницький простір,5. Моя мрія - працювати в Європейському дослідницькому просторі.,некоректне спрощення.
зброя військового призначення,1. Солдати були озброєні зброєю військового призначення.,надто загальне
зброя військового призначення,2. Командир наказав відкласти зброю військового призначення.,калька з російської
зброя військового призначення,3. Військові використовували зброю військового призначення під час військових навчань.,перекручення
зброя військового призначення,4. Військовий підрозділ був забезпечений зброєю військового призначення.,неточний переклад
зброя військового призначення,5. Солдати вчилися користуватися зброєю військового призначення на полігоні.,некоректне спрощення
здобувачі освіти,1. Здобувачі освіти вже зайняли новий навчальний заклад.,перекручення значення
здобувачі освіти,2. Університет запрошує здобувачів освіти на вечірку.,некоректне спрощення
здобувачі освіти,3. Здобувачі освіти повинні здати іспити до кінця тижня.,неточний переклад
здобувачі освіти,"4. Здобувачі освіти складаються не тільки з студентів, але й з викладачів.",заміна
здобувачі освіти,5. Правильне відстеження прогресу здобувачів освіти допомагає покращити якість навчання.,надто загальне значення
